Feature,Score
Pregnancies,0.08365805332444089
Glucose,0.3784317575122017
BloodPressure,0.032820909978720246
SkinThickness,0.03293894466096802
Insulin,0.06007840918752041
BMI,0.17097023214853424
DiabetesPedigreeFunction,0.07676353668440797
Age,0.16433815650320655
